[PSDMarkerDump] Kind=pikNone Caption="不明" File="D:\aviutl110\PSD_Data\たおたお\四国めたん_立ち絵\四国めたん_立ち絵.psd"
D=4 V=0 M=* Name="*ハート_1_2"
D=4 V=0 M=* Name="*ハイライト無_1_1"
D=4 V=0 M=* Name="*ハイライト無_1_2"
D=4 V=0 M=* Name="*ハイライト無_1_3"
D=4 V=0 M=* Name="*ハイライト無_1_4"
D=4 V=0 M=* Name="*死んだ目_1"
D=4 V=0 M=* Name="*＞＜"
D=4 V=0 M=* Name="*ーー"
D=4 V=0 M=* Name="*猫目_1"
D=4 V=0 M=* Name="*猫目_2"
D=4 V=0 M=* Name="*うるうる"
D=4 V=0 M=* Name="*きらきら"
D=3 V=1 M=  Name="頬"
D=4 V=1 M=* Name="*通常"
D=4 V=0 M=* Name="*赤面1"
D=4 V=0 M=* Name="*赤面2"
D=3 V=1 M=  Name="口"
D=4 V=1 M=* Name="*閉じ_通常"
D=4 V=0 M=* Name="*閉じ_微笑"
D=4 V=0 M=* Name="*閉じ_無"
D=4 V=0 M=* Name="*閉じ_にっこり"
D=4 V=0 M=* Name="*閉じ_むっ"
D=4 V=0 M=* Name="*閉じ_拗ね"
D=4 V=0 M=* Name="*あ"
D=4 V=0 M=* Name="*い"
D=4 V=0 M=* Name="*う"
D=4 V=0 M=* Name="*え"
D=4 V=0 M=* Name="*お"
D=4 V=0 M=* Name="*開き_1"
D=4 V=0 M=* Name="*開き_2"
D=4 V=0 M=* Name="*mgmg"
D=4 V=0 M=* Name="*膨れ"
D=4 V=0 M=* Name="*チュー"
D=4 V=0 M=* Name="*てへぺろ"
D=4 V=0 M=* Name="*にやり"
D=4 V=0 M=* Name="*ぐぬぬ_1"
D=4 V=0 M=* Name="*ぐぬぬ_2"
D=4 V=0 M=* Name="*へっ_1"
D=4 V=0 M=* Name="*へっ_2"
D=4 V=0 M=* Name="*ふーん"
D=4 V=0 M=* Name="*よだれ_1"
D=4 V=0 M=* Name="*よだれ_2"
D=4 V=0 M=* Name="*よだれ_3"
D=4 V=0 M=* Name="*ω"
D=4 V=0 M=* Name="*△"
D=4 V=0 M=* Name="*×"
D=4 V=0 M=* Name="*□"
D=3 V=1 M=  Name="顔"
D=2 V=1 M=! Name="!衣装差分"
D=3 V=1 M=* Name="*通常衣装"
D=4 V=1 M=! Name="!腕差分"
D=5 V=1 M=! Name="!左腕"
D=6 V=1 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=5 V=1 M=! Name="!右腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=4 V=1 M=! Name="!体"
D=3 V=0 M=* Name="*制服"
D=4 V=1 M=! Name="!腕差分"
D=5 V=1 M=! Name="!左腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=5 V=1 M=! Name="!右腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=4 V=1 M=! Name="!体"
D=3 V=0 M=* Name="*バニー"
D=4 V=1 M=! Name="!腕差分"
D=5 V=1 M=! Name="!左腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=5 V=1 M=! Name="!右腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=4 V=1 M=! Name="!体"
D=3 V=0 M=* Name="*水着"
D=4 V=1 M=! Name="!腕差分"
D=5 V=1 M=! Name="!左腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=5 V=1 M=! Name="!右腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=4 V=1 M=! Name="!体"
D=3 V=0 M=* Name="*チア"
D=4 V=1 M=! Name="!腕差分"
D=5 V=1 M=! Name="!左腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=5 V=1 M=! Name="!右腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=4 V=1 M=! Name="!体"
D=3 V=0 M=* Name="*体操服"
D=4 V=1 M=! Name="!腕差分"
D=5 V=1 M=! Name="!左腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=5 V=1 M=! Name="!右腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=4 V=1 M=! Name="!体"
D=3 V=0 M=* Name="*私服1"
D=4 V=1 M=! Name="!腕差分"
D=5 V=1 M=! Name="!左腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=5 V=1 M=! Name="!右腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=4 V=1 M=! Name="!体"
D=3 V=0 M=* Name="*下着"
D=4 V=1 M=! Name="!腕差分"
D=5 V=1 M=! Name="!左腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=5 V=1 M=! Name="!右腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=4 V=1 M=  Name="透け"
D=4 V=1 M=! Name="!下着"
D=3 V=0 M=* Name="*裸"
D=4 V=1 M=! Name="!腕差分"
D=5 V=1 M=! Name="!左腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=5 V=1 M=! Name="!右腕"
D=6 V=1 M=* Name="*腕差分1"
D=6 V=0 M=* Name="*腕差分2"
D=6 V=0 M=* Name="*腕差分3"
D=6 V=0 M=* Name="*腕差分4"
D=6 V=0 M=* Name="*腕差分5"
D=4 V=1 M=! Name="!体"
D=2 V=1 M=  Name="ツインテール"

[PSDMarkerDumpEnd]
