[PSDMarkerDump] Kind=pikNone Caption="荳肴・" File="D:\VoiceroidProj\PSD\ふらすこ\ふらすこ式立ち絵vol.2_東北きりたんver2.0\きりたん立ち絵.psd"
D=3 V=0 M=* Name="*通常3"
D=3 V=0 M=* Name="*通常2"
D=3 V=1 M=* Name="*通常1"
D=2 V=1 M=  Name="眉"
D=3 V=0 M=* Name="*疑問"
D=3 V=0 M=* Name="*困"
D=3 V=0 M=* Name="*強気"
D=3 V=0 M=* Name="*怒"
D=3 V=0 M=* Name="*無表情"
D=3 V=0 M=* Name="*悲"
D=3 V=1 M=* Name="*楽"
D=3 V=0 M=* Name="*通常"
D=2 V=1 M=  Name="頬"
D=3 V=0 M=* Name="*赤面"
D=3 V=0 M=* Name="*照れ"
D=3 V=1 M=* Name="*通常"
D=2 V=0 M=  Name="その他"
D=3 V=0 M=* Name="*流血"
D=3 V=0 M=* Name="*鼻血"
D=3 V=0 M=* Name="*吐血（笑用）"
D=3 V=0 M=* Name="*吐血"
D=3 V=0 M=* Name="*涎（笑用）"
D=3 V=0 M=* Name="*涎"
D=3 V=0 M=* Name="*涙(閉じ1用)"
D=3 V=0 M=* Name="*涙"
D=3 V=0 M=* Name="*蒼白"
D=3 V=1 M=* Name="*影"
D=1 V=0 M=* Name="*出力用下地"
D=1 V=1 M=  Name="衣装"
D=2 V=0 M=* Name="*巡査"
D=2 V=0 M=* Name="*アイドル衣装"
D=2 V=0 M=* Name="*どてら"
D=2 V=0 M=* Name="*冬服"
D=2 V=0 M=* Name="*寝間着反転"
D=2 V=0 M=* Name="*寝間着"
D=2 V=0 M=* Name="*パジャマ上"
D=2 V=0 M=* Name="*パジャマ下"
D=2 V=0 M=* Name="*パジャマ"
D=2 V=0 M=* Name="*ランドセル紐ワンピ用"
D=2 V=1 M=* Name="*ランドセル紐和装用"
D=2 V=0 M=* Name="*ランドセル紐"
D=2 V=0 M=* Name="*ワンピ+上着"
D=2 V=0 M=* Name="*ワンピース"
D=2 V=0 M=* Name="*手袋（着物用）"
D=2 V=0 M=* Name="*着物反転"
D=2 V=0 M=* Name="*着物"
D=2 V=0 M=* Name="*スカート"
D=2 V=0 M=* Name="*手袋（和装用）"
D=2 V=0 M=* Name="*和装反転"
D=2 V=1 M=* Name="*和装"
D=2 V=1 M=* Name="*ブラ"
D=2 V=1 M=* Name="*パンツ"
D=2 V=0 M=* Name="*バスタオル"
D=2 V=0 M=* Name="*スク水"
D=2 V=0 M=* Name="*手袋"
D=2 V=0 M=* Name="*包帯"
D=2 V=0 M=* Name="*冬服後ろ"
D=1 V=1 M=  Name="髪型"
D=2 V=0 M=* Name="*おさげ"
D=2 V=0 M=* Name="*ポニーテール"
D=2 V=0 M=* Name="*お団子"
D=2 V=0 M=* Name="*通常"
D=2 V=1 M=* Name="*ツインテール"
D=1 V=1 M=* Name="*素体"
D=1 V=1 M=  Name="背中装飾"
D=2 V=0 M=* Name="*きりたん砲2"
D=2 V=1 M=* Name="*きりたん砲"
D=2 V=1 M=* Name="*ランドセル"

[PSDMarkerDumpEnd]
