[PSDMarkerDump] Kind=pikYumeNoOwari Caption="ユメのオワリPSD" File="D:\aviutl110\PSD_Data\ユメのオワリ\琴葉葵立ち絵v01.09\琴葉葵立ち絵v01.09.psd"
D=5 V=0 M=* Name="*茜普通眉1"
D=5 V=0 M=* Name="*ひややか"
D=5 V=0 M=* Name="*すやー"
D=5 V=0 M=* Name="*＞＜"
D=5 V=0 M=* Name="*にこ"
D=5 V=0 M=* Name="*にへら"
D=5 V=0 M=* Name="*おこ"
D=5 V=0 M=* Name="*にや"
D=5 V=0 M=* Name="*きっ"
D=5 V=0 M=* Name="*む"
D=5 V=0 M=* Name="*むむー"
D=5 V=0 M=* Name="*ぐにゃは"
D=5 V=0 M=* Name="*やん"
D=5 V=0 M=* Name="*いやー"
D=5 V=0 M=* Name="*ウィンク"
D=4 V=1 M=  Name="頬紅"
D=5 V=0 M=+ Name="+//////"
D=5 V=1 M=  Name="///"
D=4 V=1 M=  Name="鼻"
D=2 V=1 M=  Name="葵髪飾り"
D=3 V=0 M=+ Name="+左"
D=3 V=1 M=  Name="右"
D=2 V=0 M=  Name="茜髪飾り"
D=3 V=1 M=  Name="左"
D=3 V=0 M=+ Name="+右"
D=2 V=0 M=  Name="泡"
D=2 V=1 M=  Name="左手（お好みで切り替えてね！）"
D=3 V=1 M=* Name="*手首1"
D=3 V=0 M=* Name="*手首2"
D=3 V=0 M=* Name="*手首3スカート捲りよう"
D=3 V=0 M=* Name="*手首4鎖用"
D=3 V=0 M=* Name="*手首5スポンジ"
D=2 V=1 M=  Name="右腕1"
D=3 V=1 M=* Name="*葵"
D=3 V=0 M=* Name="*茜"
D=3 V=0 M=* Name="*袖なし"
D=2 V=1 M=  Name="茜葵上半身"
D=3 V=1 M=* Name="*茜葵上半身"
D=4 V=1 M=* Name="*葵上半身"
D=4 V=0 M=* Name="*茜上半身"
D=3 V=0 M=* Name="*茜葵上半身（泡、バスタオル、スク水）"
D=4 V=0 M=  Name="スク水"
D=4 V=1 M=* Name="*葵上半身"
D=5 V=0 M=+ Name="+もみあげ解く"
D=5 V=1 M=  Name="葵上半身"
D=4 V=0 M=* Name="*茜上半身"
D=5 V=0 M=+ Name="+もみあげ解く"
D=5 V=1 M=  Name="茜上半身"
D=1 V=1 M=  Name="アクセサリー"
D=2 V=0 M=+ Name="+メガネ赤"
D=2 V=0 M=+ Name="+メガネ黒"
D=2 V=0 M=+ Name="+白猫手袋ポーズ3用"
D=2 V=0 M=+ Name="+黒猫手袋ポーズ3用"
D=2 V=0 M=  Name="目隠し"
D=3 V=1 M=  Name="目隠し"
D=3 V=0 M=+ Name="+目隠し（もみあげなし）"
D=2 V=0 M=+ Name="+きのこ"
D=2 V=0 M=+ Name="+帽子赤"
D=2 V=0 M=+ Name="+帽子緑"
D=2 V=0 M=+ Name="+鎖（ポーズ3はポーズ3フォルダ内のものを使ってください）"
D=2 V=0 M=+ Name="+手錠ポーズ5用（一部対応）"
D=1 V=1 M=  Name="葵表情"
D=2 V=0 M=  Name="影"
D=3 V=0 M=+ Name="+縦線"
D=3 V=0 M=+ Name="+影1"
D=3 V=0 M=+ Name="+影2"
D=3 V=0 M=+ Name="+影（鼻無し）"
D=3 V=0 M=+ Name="+影グラデーション"
D=2 V=0 M=  Name="汗"
D=3 V=1 M=  Name="汗"
D=3 V=1 M=  Name="いっぱい汗"
D=2 V=1 M=* Name="*表情セット(影、頬紅、汗はお好みで使って下さい)"
D=3 V=0 M=* Name="*普通1 "
D=3 V=1 M=* Name="*普通1こっち"
D=3 V=0 M=* Name="*普通2"
D=3 V=0 M=* Name="*普通2こっち"
D=3 V=0 M=* Name="*普通3"
D=3 V=0 M=* Name="*普通3こっち"
D=3 V=0 M=* Name="*普通1ハイライトなし"
D=3 V=0 M=* Name="*普通1ハイライトなしこっち"
D=3 V=0 M=* Name="*普通2ハイライトなし"
D=3 V=0 M=* Name="*普通2ハイライトなしこっち"
D=3 V=0 M=* Name="*普通3ハイライトなしこっち"
D=3 V=0 M=* Name="*普通3ハイライトなしこっち"
D=3 V=0 M=* Name="*テレテレ"
D=3 V=0 M=* Name="*もう限界"
D=3 V=0 M=* Name="*ぐる"
D=3 V=0 M=* Name="*きらーん"
D=3 V=0 M=* Name="*きらーんこっち"
D=3 V=0 M=* Name="*白い目"
D=3 V=0 M=* Name="*白い目こっち"
D=3 V=0 M=* Name="*ぺろ"
D=3 V=0 M=* Name="*ほうほう"
D=3 V=0 M=* Name="*むむむ"
D=3 V=0 M=* Name="*はぁ…"
D=3 V=0 M=* Name="*にゃー"
D=3 V=0 M=* Name="*あー"
D=3 V=0 M=* Name="*？？？"
D=3 V=0 M=* Name="*？？？汗"
D=3 V=0 M=* Name="*こら"
D=3 V=0 M=* Name="*はー!?"
D=3 V=0 M=* Name="*はー!?こっち"
D=3 V=0 M=* Name="*ほー"
D=3 V=0 M=* Name="*おこ"
D=3 V=0 M=* Name="*＞＜"
D=3 V=0 M=* Name="*にっこり"
D=3 V=0 M=* Name="*なにそれ！？"
D=3 V=0 M=* Name="*ほほえむ"
D=3 V=0 M=* Name="*ほほえむこっち"
D=3 V=0 M=* Name="*ほほえむハイなし"
D=3 V=0 M=* Name="*ほほえむハイなしこっち"
D=3 V=0 M=* Name="*じとー"
D=3 V=0 M=* Name="*目そらし"
D=3 V=0 M=* Name="*ぐぬぬ"
D=3 V=0 M=* Name="*てへぺろ"
D=3 V=0 M=* Name="*ウィンク"
D=3 V=0 M=* Name="*真顔"
D=3 V=0 M=* Name="*真顔こっち"
D=3 V=0 M=* Name="*かなしい"
D=3 V=0 M=* Name="*もぐもぐ"
D=3 V=0 M=* Name="*びっくり"
D=3 V=0 M=* Name="*吐血"
D=3 V=0 M=* Name="*だらー"
D=3 V=0 M=* Name="*きりっ"
D=3 V=0 M=* Name="*こらえる"
D=3 V=0 M=* Name="*あっあっ"
D=3 V=0 M=* Name="*しゅごい"
D=3 V=0 M=* Name="*ぶーぶー"
D=3 V=0 M=* Name="*ハート"
D=3 V=0 M=* Name="*小悪魔"
D=3 V=0 M=* Name="*こぉおお（セットのみ）"
D=3 V=0 M=* Name="*(*´∀｀)（セットのみ）"
D=3 V=0 M=* Name="*ぷくむー（セットのみ）"
D=3 V=0 M=* Name="*うわあああん（セットのみ）"
D=3 V=1 M=  Name="頬紅"
D=4 V=0 M=+ Name="+/////"
D=4 V=1 M=  Name="///"
D=2 V=0 M=* Name="*表情バラ"
D=3 V=1 M=  Name="目"
D=4 V=0 M=* Name="*普通目"
D=4 V=1 M=* Name="*普通目こっち"
D=4 V=0 M=* Name="*普通目あっち"
D=4 V=0 M=* Name="*ハイライトなし"
D=4 V=0 M=* Name="*ハイライトなしこっち"
D=4 V=0 M=* Name="*ハイライトなしあっち"
D=4 V=0 M=* Name="*ぐる"
D=4 V=0 M=* Name="*ぐるこっち"
D=4 V=0 M=* Name="*きらーん"
D=4 V=0 M=* Name="*きらーんこっち"
D=4 V=0 M=* Name="*白い目1こっち"
D=4 V=0 M=* Name="*白い目1"
D=4 V=0 M=* Name="*○"
D=4 V=0 M=* Name="*細目"
D=4 V=0 M=* Name="*細目こっち"
D=4 V=0 M=* Name="*細目ハイなし"
D=4 V=0 M=* Name="*細目こっちハイなし"
D=4 V=0 M=* Name="*ハート目"
D=4 V=0 M=* Name="*ハート目こっち"
D=4 V=0 M=* Name="*つり目"
D=4 V=0 M=* Name="*つり目こっち"
D=4 V=0 M=* Name="*つり目そらし"
D=4 V=0 M=* Name="*白"
D=4 V=0 M=* Name="*白い目2"
D=4 V=0 M=* Name="*白い目2こっち"
D=4 V=0 M=* Name="*とじ"
D=4 V=0 M=* Name="*？？？"
D=4 V=0 M=* Name="*？？？赤"
D=4 V=0 M=* Name="*目中こっち"
D=4 V=0 M=* Name="*目中"
D=4 V=0 M=* Name="*＞＜"
D=4 V=0 M=* Name="*にっこり"
D=4 V=0 M=* Name="*じとー"
D=4 V=0 M=* Name="*目そらし"
D=4 V=0 M=* Name="*てへぺろ"
D=4 V=0 M=* Name="*ウィンク"
D=4 V=0 M=* Name="*びっくり"
D=4 V=0 M=* Name="*あっあっ"
D=4 V=0 M=* Name="*しゅごい"
D=4 V=0 M=* Name="*Ｉ"
D=4 V=0 M=* Name="*あー"
D=4 V=0 M=* Name="*にゃー"
D=3 V=1 M=  Name="口"
D=4 V=1 M=* Name="*普通口1"
D=4 V=0 M=* Name="*普通口2"
D=4 V=0 M=* Name="*普通口3"
D=4 V=0 M=* Name="*ぐる"
D=4 V=0 M=* Name="*白い目"
D=4 V=0 M=* Name="*ぺろ"
D=4 V=0 M=* Name="*ほうほう"
D=4 V=0 M=* Name="*むむむ"
D=4 V=0 M=* Name="*はぁ…"
D=4 V=0 M=* Name="*あー"
D=4 V=0 M=* Name="*？？？"
D=4 V=0 M=* Name="*こら"
D=4 V=0 M=* Name="*はー!?"
D=4 V=0 M=* Name="*ほー"
D=4 V=0 M=* Name="*おこ"
D=4 V=0 M=* Name="*にっこり"
D=4 V=0 M=* Name="*なにそれ！？"
D=4 V=0 M=* Name="*ほほえむ"
D=4 V=0 M=* Name="*じとー"
D=4 V=0 M=* Name="*目そらし"
D=4 V=0 M=* Name="*ぐぬぬ"
D=4 V=0 M=* Name="*てへぺろ"
D=4 V=0 M=* Name="*ウィンク"
D=4 V=0 M=* Name="*真顔"
D=4 V=0 M=* Name="*かなしい"
D=4 V=0 M=* Name="*もぐもぐ "
D=4 V=0 M=* Name="*びっくり"
D=4 V=0 M=* Name="*吐血 "
D=4 V=0 M=* Name="*だらー"
D=4 V=0 M=* Name="*きりっ"
D=4 V=0 M=* Name="*こらえる"
D=4 V=0 M=* Name="*あっあっ"
D=4 V=0 M=* Name="*しゅごい"
D=4 V=0 M=* Name="*ぶーぶー"
D=4 V=0 M=* Name="*うぇ"
D=4 V=0 M=* Name="*あ”ー"
D=4 V=0 M=* Name="*くわ"
D=4 V=0 M=* Name="*あうあー"
D=4 V=0 M=* Name="*△"
D=4 V=0 M=* Name="*ぐぬ"
D=4 V=0 M=* Name="*ぷく"
D=4 V=0 M=* Name="*にひ"
D=4 V=0 M=* Name="*くり"
D=4 V=0 M=* Name="*もう"
D=4 V=0 M=* Name="*にゃー"
D=3 V=1 M=  Name="眉"
D=4 V=1 M=* Name="*普通眉"
D=4 V=0 M=* Name="*にこ"
D=4 V=0 M=* Name="*どや"
D=4 V=0 M=+ Name="+ぐにゃ"
D=4 V=0 M=* Name="*見開き"
D=4 V=0 M=* Name="*キ"
D=4 V=0 M=* Name="*ハ"
D=4 V=0 M=* Name="*おこ"
D=4 V=0 M=* Name="*ぐる"
D=4 V=0 M=* Name="*きらーん"
D=4 V=0 M=* Name="*白い目"
D=4 V=0 M=* Name="*ぺろ"
D=4 V=0 M=* Name="*ほうほう"
D=4 V=0 M=* Name="*むむむ"
D=4 V=0 M=* Name="*はぁ…"
D=4 V=0 M=* Name="*あー"
D=4 V=0 M=* Name="*？？？"
D=4 V=0 M=* Name="*こら"
D=4 V=0 M=* Name="*はー!?"
D=4 V=0 M=* Name="*ほー"
D=4 V=0 M=* Name="*おこ"
D=4 V=0 M=* Name="*＞＜"
D=4 V=0 M=* Name="*なにそれ！？"
D=4 V=0 M=* Name="*ほほえむ"
D=4 V=0 M=* Name="*じとー"
D=4 V=0 M=* Name="*目そらし"
D=4 V=0 M=* Name="*ぐぬぬ"
D=4 V=0 M=* Name="*ウィンク"
D=4 V=0 M=* Name="*真顔 "
D=4 V=0 M=* Name="*かなしい"
D=4 V=0 M=* Name="*もぐもぐ"
D=4 V=0 M=* Name="*びっくり"
D=4 V=0 M=* Name="*ぬう"
D=4 V=0 M=* Name="*だらー"
D=4 V=0 M=* Name="*きりっ"
D=4 V=0 M=* Name="*こらえる"
D=4 V=0 M=* Name="*しゅごい"
D=4 V=0 M=* Name="*うわあああん"
D=4 V=0 M=* Name="*ぶーぶー"
D=4 V=0 M=* Name="*ハート"
D=3 V=1 M=  Name="頬紅"
D=4 V=0 M=+ Name="+/////"
D=4 V=1 M=  Name="///"
D=3 V=1 M=  Name="鼻"
D=1 V=1 M=* Name="*ポーズ(各ポーズの中に服装が入っています)"
D=2 V=1 M=* Name="*ポーズ1葵"
D=3 V=1 M=  Name="葵もみあげ"
D=4 V=0 M=+ Name="+青モコモコ部屋着リボン"
D=4 V=0 M=+ Name="+赤モコモコ部屋着リボン"
D=4 V=0 M=* Name="*もみあげ解く"
D=4 V=1 M=* Name="*もみあげ"
D=3 V=1 M=  Name="葵前髪"
D=3 V=0 M=  Name="泡"
D=4 V=1 M=  Name="泡頭"
D=4 V=1 M=  Name="泡体"
D=3 V=1 M=* Name="*葵いつもの服"
D=4 V=1 M=* Name="*葵いつもの服"
D=4 V=0 M=* Name="*スカートめくり（▲スカートの裏地部分が下にあります）"
D=4 V=0 M=* Name="*葵いつもの服袖だけ"
D=4 V=0 M=* Name="*葵いつもの服袖なし"
D=4 V=0 M=* Name="*袖なしスカートめくり（▲スカートの裏地部分が下にあります）"
D=4 V=1 M=  Name="靴"
D=3 V=0 M=* Name="*茜いつもの服"
D=4 V=1 M=* Name="*茜いつもの服"
D=4 V=0 M=* Name="*スカートめくり（▲スカートの裏地部分が下にあります）"
D=4 V=0 M=* Name="*茜いつもの服袖だけ"
D=4 V=0 M=* Name="*茜いつもの服袖なし"
D=4 V=0 M=* Name="*袖なしスカートめくり（▲スカートの裏地部分が下にあります）"
D=4 V=1 M=  Name="靴"
D=3 V=0 M=* Name="*葵モコモコ部屋着（リボンはもみあげとサイドに) "
D=4 V=1 M=  Name="上着"
D=4 V=1 M=  Name="靴下"
D=3 V=0 M=* Name="*茜モコモコ部屋着（リボンはもみあげとサイドに)"
D=4 V=1 M=  Name="上着"
D=4 V=1 M=  Name="靴下"
D=3 V=0 M=* Name="*バニースーツ葵"
D=4 V=1 M=  Name="手首"
D=4 V=1 M=  Name="葵名札"
D=5 V=1 M=* Name="*名札"
D=5 V=0 M=* Name="*名札:flipx"
D=4 V=1 M=  Name="バニースーツ"
D=4 V=1 M=  Name="ストッキング"
D=3 V=0 M=* Name="*バニースーツ茜"
D=4 V=1 M=  Name="手首"
D=4 V=1 M=  Name="葵名札"
D=5 V=1 M=* Name="*名札"
D=5 V=0 M=* Name="*名札:flipx"
D=4 V=1 M=  Name="うさ耳"
D=4 V=1 M=  Name="バニースーツ"
D=4 V=1 M=  Name="ストッキング"
D=3 V=0 M=* Name="*めいど"
D=4 V=1 M=  Name="リボン"
D=5 V=0 M=* Name="*赤"
D=5 V=1 M=* Name="*青"
D=4 V=1 M=  Name="メイドカチューシャ"
D=4 V=1 M=  Name="メイド服"
D=3 V=0 M=* Name="*バスタオル"
D=3 V=0 M=* Name="*お洋服"
D=4 V=1 M=* Name="*マフラー付き"
D=4 V=1 M=* Name="*コート付き"
D=4 V=1 M=  Name="ポシェット"
D=4 V=1 M=* Name="*お洋服"
D=4 V=1 M=  Name="帽子"
D=4 V=1 M=  Name="靴"
D=3 V=0 M=* Name="*裸エプロン"
D=4 V=1 M=* Name="*裸エプロン"
D=4 V=0 M=* Name="*腰エプロン"
D=3 V=0 M=* Name="*なし"
D=3 V=0 M=  Name="下着水着"
D=4 V=0 M=* Name="*フリル水着"
D=5 V=1 M=  Name="フリル水着上"
D=6 V=1 M=* Name="*フリル水着グリーン"
D=6 V=0 M=* Name="*フリル水着ブルー"
D=6 V=0 M=* Name="*フリル水着ピンク"
D=5 V=1 M=  Name="フリル水着下"
D=6 V=1 M=* Name="*フリル水着グリーン"
D=6 V=0 M=* Name="*フリル水着ブルー"
D=6 V=0 M=* Name="*フリル水着ピンク"
D=4 V=0 M=* Name="*スク水"
D=4 V=0 M=* Name="*黒ビキニ"
D=5 V=1 M=  Name="黒ビキニ上"
D=5 V=1 M=  Name="黒ビキニ下"
D=4 V=0 M=* Name="*眼帯水着"
D=5 V=1 M=  Name="上"
D=5 V=1 M=  Name="下"
D=4 V=0 M=* Name="*下着ピンク"
D=5 V=1 M=  Name="上"
D=5 V=1 M=  Name="下"
D=4 V=0 M=* Name="*下着青"
D=5 V=1 M=  Name="上"
D=5 V=1 M=  Name="下"
D=4 V=1 M=* Name="*なし"
D=3 V=1 M=! Name="!腕"
D=2 V=0 M=* Name="*ポーズ1茜"
D=3 V=1 M=  Name="葵もみあげ"
D=4 V=0 M=+ Name="+青モコモコ部屋着リボン"
D=4 V=0 M=+ Name="+赤モコモコ部屋着リボン"
D=4 V=0 M=* Name="*もみあげ解く"
D=4 V=1 M=* Name="*もみあげ"
D=3 V=1 M=  Name="葵前髪"
D=3 V=0 M=  Name="泡"
D=4 V=1 M=  Name="泡頭"
D=4 V=1 M=  Name="泡体"
D=3 V=1 M=* Name="*葵いつもの服"
D=4 V=1 M=* Name="*葵いつもの服"
D=4 V=0 M=* Name="*スカートめくり（▲スカートの裏地部分が下にあります） のコピー 2"
D=4 V=0 M=* Name="*葵いつもの服袖だけ"
D=4 V=0 M=* Name="*葵いつもの服袖なし"
D=4 V=0 M=* Name="*袖なしスカートめくり（▲スカートの裏地部分が下にあります）"
D=4 V=1 M=  Name="葵いつもの服靴"
D=3 V=0 M=* Name="*茜いつもの服"
D=4 V=1 M=* Name="*茜いつもの服"
D=4 V=0 M=* Name="*スカートめくり（▲スカートの裏地部分が下にあります）"
D=4 V=0 M=* Name="*茜いつもの服袖だけ"
D=4 V=0 M=* Name="*茜いつもの服袖なし"
D=4 V=0 M=* Name="*袖なしスカートめくり（▲スカートの裏地部分が下にあります）"
D=4 V=1 M=  Name="茜いつもの服靴"
D=3 V=0 M=* Name="*葵モコモコ部屋着（リボンはもみあげと後ろ髪サイドに)"
D=4 V=1 M=  Name="上着"
D=4 V=1 M=  Name="靴下"
D=3 V=0 M=* Name="*茜モコモコ部屋着（リボンはもみあげと後ろ髪サイドに)"
D=4 V=1 M=  Name="上着"
D=4 V=1 M=  Name="靴下"
D=3 V=0 M=* Name="*バニースーツ葵"
D=4 V=1 M=  Name="名札葵"
D=5 V=1 M=* Name="*名札"
D=5 V=0 M=* Name="*名札:flipx"
D=4 V=1 M=  Name="手首"
D=4 V=1 M=  Name="うさ耳"
D=4 V=1 M=  Name="バニースーツ"
D=4 V=1 M=  Name="ストッキング"
D=3 V=0 M=* Name="*バニースーツ茜"
D=4 V=1 M=  Name="名札葵"
D=5 V=1 M=* Name="*名札"
D=5 V=0 M=* Name="*名札:flipx"
D=4 V=1 M=  Name="手首"
D=4 V=1 M=  Name="うさ耳"
D=4 V=1 M=  Name="バニースーツ"
D=4 V=1 M=  Name="ストッキング"
D=3 V=0 M=* Name="*めいど"
D=4 V=1 M=  Name="リボン"
D=5 V=1 M=* Name="*赤"
D=5 V=0 M=* Name="*青"
D=4 V=1 M=  Name="メイドカチューシャ"
D=4 V=1 M=  Name="メイド服"
D=3 V=0 M=* Name="*体操服"
D=4 V=1 M=  Name="名札葵"
D=5 V=1 M=* Name="*あおい名"
D=5 V=0 M=* Name="*あおい名:flipx"
D=4 V=1 M=  Name="服"
D=4 V=1 M=  Name="靴"
D=3 V=0 M=* Name="*バスタオル"
D=4 V=1 M=* Name="*バスタオル"
D=3 V=0 M=* Name="*セーラー服"
D=4 V=1 M=  Name="セーラー服"
D=4 V=1 M=  Name="靴"
D=3 V=0 M=* Name="*Tシャツ"
D=4 V=0 M=* Name="*Tシャツ"
D=4 V=1 M=* Name="*無地Tシャツ"
D=3 V=0 M=* Name="*お洋服"
D=4 V=1 M=* Name="*マフラー付き"
D=4 V=0 M=* Name="*コート付き"
D=4 V=1 M=  Name="ポシェット"
D=4 V=0 M=* Name="*お洋服"
D=4 V=1 M=  Name="帽子"
D=4 V=1 M=  Name="靴"
D=3 V=0 M=* Name="*オーバーオール"
D=4 V=1 M=* Name="*ノーマル"
D=4 V=0 M=* Name="*赤"
D=4 V=0 M=* Name="*緑"
D=3 V=0 M=* Name="*ナース葵"
D=4 V=1 M=  Name="ナースキャップ青"
D=4 V=1 M=  Name="ナース青"
D=4 V=1 M=  Name="ナースビキニ青"
D=4 V=1 M=  Name="ナース靴青"
D=3 V=0 M=* Name="*ナース茜"
D=4 V=1 M=  Name="ナースキャップ赤"
D=4 V=1 M=  Name="ナース赤"
D=4 V=1 M=  Name="ナースビキニ赤"
D=4 V=1 M=  Name="ナース靴赤"
D=3 V=0 M=* Name="*裸エプロン"
D=4 V=1 M=* Name="*裸エプロン"
D=4 V=0 M=* Name="*腰エプロン"
D=3 V=0 M=* Name="*なし"
D=3 V=0 M=  Name="下着水着"
D=4 V=0 M=* Name="*フリル水着"
D=5 V=1 M=  Name="フリル水着上"
D=6 V=1 M=* Name="*フリル水着グリーン"
D=6 V=0 M=* Name="*フリル水着ブルー"
D=6 V=0 M=* Name="*フリル水着ピンク"
D=5 V=1 M=  Name="フリル水着下"
D=6 V=1 M=* Name="*フリル水着グリーン"
D=6 V=0 M=* Name="*フリル水着ブルー"
D=6 V=0 M=* Name="*フリル水着ピンク"
D=4 V=0 M=* Name="*スク水"
D=4 V=0 M=* Name="*黒ビキニ"
D=5 V=1 M=  Name="黒ビキニ上"
D=5 V=1 M=  Name="黒ビキニ下"
D=4 V=0 M=* Name="*眼帯水着"
D=5 V=1 M=  Name="上"
D=5 V=1 M=  Name="下"
D=4 V=0 M=* Name="*下着ピンク"
D=5 V=1 M=  Name="上"
D=5 V=1 M=  Name="下"
D=4 V=0 M=* Name="*下着青"
D=5 V=1 M=  Name="上"
D=5 V=1 M=  Name="下"
D=4 V=1 M=* Name="*なし"
D=3 V=1 M=! Name="!腕"
D=2 V=0 M=* Name="*ポーズ2"
D=3 V=1 M=  Name="右手2（お好みで切り替えてね！）"
D=4 V=0 M=* Name="*お箸スプーン"
D=5 V=1 M=  Name="手"
D=5 V=1 M=  Name="箸"
D=5 V=0 M=+ Name="+スプーン"
D=4 V=0 M=* Name="*右手2にゃん"
D=4 V=0 M=* Name="*右手2ぐー"
D=4 V=0 M=* Name="*右手2↑"
D=4 V=0 M=* Name="*スポンジ"
D=4 V=0 M=* Name="*右手2表出ろ"
D=4 V=1 M=* Name="*右手2ハイやめやめ"
D=4 V=0 M=* Name="*右手2ピース"
D=3 V=1 M=  Name="葵もみあげ"
D=4 V=0 M=+ Name="+青モコモコ部屋着リボン"
D=4 V=0 M=+ Name="+赤モコモコ部屋着リボン"
D=4 V=0 M=* Name="*もみあげ解く"
D=4 V=1 M=* Name="*もみあげ"
D=3 V=1 M=  Name="葵前髪"
D=3 V=0 M=  Name="泡"
D=4 V=1 M=  Name="泡頭"
D=4 V=1 M=  Name="泡体"
D=3 V=1 M=* Name="*葵いつもの服"
D=4 V=1 M=* Name="*葵いつもの服"
D=4 V=0 M=* Name="*袖なしスカートめくり（▲スカートの裏地部分が下にあります）"
D=4 V=0 M=* Name="*葵いつもの服袖だけ"
D=4 V=0 M=* Name="*袖なしスカートめくり（▲スカートの裏地部分が下にあります）"
D=4 V=0 M=* Name="*葵いつもの服袖なし"
D=4 V=1 M=  Name="葵いつもの服靴"
D=3 V=0 M=* Name="*茜いつもの服"
D=4 V=1 M=* Name="*茜いつもの服"
D=4 V=0 M=* Name="*スカートめくり（▲スカートの裏地部分が下にあります）"
D=4 V=0 M=* Name="*茜いつもの服袖だけ"
D=4 V=0 M=* Name="*茜いつもの服袖なし"
